频率(Hz),基准PSD(m2/s4/Hz),强化后PSD(m2/s4/Hz)
66.8945,2.81282606e+03,2.42559163e+03
67.3828,3.48420019e+03,3.08105596e+03
67.8711,4.15310625e+03,3.73155161e+03
68.3594,3.51009898e+03,3.20448946e+03
68.8477,3.59037614e+03,3.33812029e+03
69.3359,4.77326204e+03,4.49934808e+03
69.8242,5.68432419e+03,5.41798172e+03
70.3125,3.03740432e+03,2.91848952e+03
70.8008,1.01736076e+03,9.94714973e+02
71.2891,2.57688727e+03,2.56349925e+03
71.7773,3.29287815e+03,3.30486924e+03
72.2656,1.88007453e+03,1.91318043e+03
72.7539,2.02209870e+03,2.08770044e+03
73.2422,1.70334255e+03,1.78653790e+03
73.7305,1.57100568e+03,1.68170309e+03
74.2188,2.19876345e+03,2.40413530e+03
74.7070,2.40631717e+03,2.67288675e+03
75.1953,1.91783113e+03,2.19980630e+03
75.6836,1.59638869e+03,1.87826597e+03
76.1719,1.19869079e+03,1.48190275e+03
76.6602,1.29577406e+03,1.64967018e+03
77.1484,9.00704431e+02,1.21466174e+03
77.6367,5.66888927e+02,8.42139569e+02
78.1250,1.01440082e+03,1.65290493e+03
78.6133,9.79400752e+02,1.68296531e+03
79.1016,3.14682912e+02,6.05927587e+02
79.5898,2.13307132e+02,5.34952127e+02
80.0781,3.66747596e+02,1.19141380e+03
80.5664,2.84922028e+02,1.13275234e+03
81.0547,1.49071295e+02,9.71137412e+02
81.5430,1.14168873e+02,1.21749892e+03
82.0312,5.24468257e+01,9.91961064e+02
82.5195,4.18664954e+01,6.51667427e+02
83.0078,7.26131915e+01,8.78004388e+02
83.4961,1.37922592e+02,8.82194785e+02
83.9844,3.56211087e+02,1.24914186e+03
84.4727,4.62228514e+02,1.17021459e+03
84.9609,6.58788910e+02,1.04389296e+03
85.4492,1.79816944e+03,2.03687143e+03
85.9375,3.33575915e+03,2.85278234e+03
86.4258,5.26382150e+03,3.14697796e+03
86.9141,1.23177683e+04,5.43365811e+03
87.4023,1.33625744e+04,4.48539322e+03
87.8906,1.54318082e+04,2.52422508e+03
88.3789,4.90741696e+04,3.86603407e+03
88.8672,1.77266855e+05,8.23488565e+03
89.3555,1.66630164e+05,6.86899069e+03
89.8438,7.46404614e+04,3.88610845e+03
90.3320,3.73807795e+04,3.37166574e+03
90.8203,2.21577692e+04,3.62815896e+03
91.3086,1.14023954e+04,2.49327394e+03
91.7969,7.98597010e+03,2.53878571e+03
92.2852,8.78061709e+03,3.51779995e+03
92.7734,1.40594527e+04,6.71913535e+03
93.2617,1.37320892e+04,7.26670354e+03
93.7500,1.02759849e+04,6.03830271e+03
94.2383,9.40078241e+03,6.07031460e+03
94.7266,7.21310424e+03,4.94966226e+03
95.2148,5.29330475e+03,3.84066993e+03
95.7031,6.28120538e+03,4.76794372e+03
96.1914,4.91688312e+03,3.84005113e+03
96.6797,2.09460442e+03,1.68493983e+03
97.1680,1.51405503e+03,1.25051364e+03
97.6562,2.42915081e+03,2.05843681e+03
98.1445,1.88203710e+03,1.61722417e+03
98.6328,1.18109333e+03,1.03670355e+03
99.1211,1.08163992e+03,9.63586107e+02
99.6094,1.70053358e+03,1.53851442e+03
100.0977,2.14642553e+03,1.96524483e+03
100.5859,1.57512266e+03,1.45437204e+03
101.0742,1.74185280e+03,1.62216547e+03
101.5625,3.53225293e+03,3.31945221e+03
102.0508,2.53069278e+03,2.38803314e+03
102.5391,2.89768045e+02,2.74054881e+02
103.0273,9.77335020e+02,9.40463504e+02
103.5156,1.62874510e+03,1.57223835e+03
104.0039,7.02707566e+02,6.80156609e+02
104.4922,4.19583385e+02,4.10006995e+02
104.9805,7.70723170e+02,7.57155826e+02
105.4688,6.30825134e+02,6.22303119e+02
105.9570,3.12271682e+02,3.09619674e+02
106.4453,1.34837819e+02,1.34625494e+02
106.9336,2.25276704e+02,2.26888758e+02
107.4219,3.64735315e+02,3.68975187e+02
107.9102,2.64215507e+02,2.68925452e+02
108.3984,3.04879648e+02,3.13846882e+02
108.8867,7.70524117e+02,7.99724280e+02
109.3750,9.56824465e+02,9.99436693e+02
109.8633,7.22806124e+02,7.62921974e+02
110.3516,6.12599699e+02,6.53089034e+02
110.8398,5.38433949e+02,5.82773523e+02
111.3281,5.15380781e+02,5.68220633e+02
111.8164,6.00278582e+02,6.75283445e+02
112.3047,5.19508118e+02,5.96340499e+02
112.7930,3.13609108e+02,3.70787562e+02
113.2812,2.40129684e+02,2.93523152e+02
113.7695,2.05377048e+02,2.61447889e+02
114.2578,2.03660077e+02,2.71363090e+02
114.7461,1.97768708e+02,2.83993735e+02
115.2344,2.30019258e+02,3.49985603e+02
115.7227,2.03199505e+02,3.51611891e+02
116.2109,2.37563019e+02,4.51684368e+02
116.6992,1.18569938e+02,2.53300726e+02
117.1875,4.91540245e+01,1.43978184e+02
117.6758,8.02223948e+01,3.18521999e+02
118.1641,4.80796299e+01,2.32031999e+02
118.6523,2.04808504e+01,1.43345247e+02
119.1406,1.78959896e+01,2.35880896e+02
119.6289,1.25856332e+01,1.61075191e+02
120.1172,1.57694062e+01,9.07350126e+01
120.6055,5.76827430e+01,2.16935228e+02
121.0938,9.36557014e+01,2.44493603e+02
121.5820,1.77841819e+02,2.66697666e+02
122.0703,2.82707833e+02,3.09756265e+02
122.5586,4.76174481e+02,3.37974544e+02
123.0469,9.13766487e+02,3.90928229e+02
123.5352,2.55976652e+03,7.25110071e+02
124.0234,5.31576438e+03,8.36321635e+02
124.5117,1.77632223e+04,1.80874670e+03
125.0000,2.44086925e+04,1.98060074e+03
125.4883,1.44402513e+04,1.35090229e+03
125.9766,2.01818180e+04,3.14623005e+03
126.4648,2.03381746e+04,4.20972521e+03
126.9531,1.10703246e+04,3.19491262e+03
127.4414,8.91046355e+03,3.44337234e+03
127.9297,7.67113368e+03,3.45498101e+03
128.4180,2.84663384e+03,1.48644371e+03
128.9062,1.98172755e+03,1.19937604e+03
129.3945,2.54524077e+03,1.67641149e+03
129.8828,1.52492502e+03,1.04142205e+03
130.3711,6.20500639e+02,4.56354394e+02
130.8594,4.00516657e+02,3.07324069e+02
131.3477,4.15204824e+02,3.36687465e+02
131.8359,5.56667362e+02,4.66025444e+02
132.3242,6.91071501e+02,5.95025524e+02
132.8125,9.31055958e+02,8.12826137e+02
133.3008,1.02291488e+03,9.05281349e+02
133.7891,8.74849205e+02,7.86844989e+02
134.2773,8.77268215e+02,8.00012076e+02
134.7656,9.49982313e+02,8.72480250e+02
135.2539,9.26363684e+02,8.55980549e+02
135.7422,9.71433680e+02,9.04902727e+02
136.2305,5.19032320e+02,4.86470349e+02
136.7188,1.97734650e+02,1.86574358e+02
137.2070,3.68055164e+02,3.48829919e+02
137.6953,3.91987543e+02,3.72234799e+02
138.1836,3.98473787e+02,3.80772788e+02
138.6719,4.57093365e+02,4.37808154e+02
139.1602,8.28399147e+02,7.97183332e+02
139.6484,6.97370107e+02,6.72156287e+02
140.1367,3.60059654e+02,3.48390499e+02
140.6250,5.52129880e+02,5.35589091e+02
141.1133,8.06901340e+02,7.84011414e+02
141.6016,4.02856915e+02,3.90962837e+02
142.0898,3.67320050e+02,3.57996196e+02
142.5781,5.58663470e+02,5.45533087e+02
143.0664,3.94645361e+02,3.85673426e+02
143.5547,2.92039777e+02,2.85317313e+02
144.0430,7.01892515e+02,6.87969007e+02
144.5312,4.72175882e+02,4.62824563e+02
145.0195,2.67382461e+02,2.62469037e+02
145.5078,3.26337516e+02,3.20758475e+02
145.9961,2.10370816e+02,2.06812060e+02
146.4844,2.54207905e+02,2.50208313e+02
146.9727,2.96720148e+02,2.92262981e+02
147.4609,3.41273248e+02,3.36239935e+02
147.9492,4.78252789e+02,4.71813602e+02
148.4375,1.82923507e+02,1.80450908e+02
148.9258,1.42437033e+02,1.40755996e+02
149.4141,3.34899113e+02,3.30967534e+02
149.9023,3.64452499e+02,3.60209783e+02
150.3906,3.26365223e+02,3.22660752e+02
150.8789,3.31402864e+02,3.27946736e+02
151.3672,2.00118634e+02,1.98094712e+02
151.8555,2.61694296e+02,2.59131483e+02
152.3438,4.86156784e+02,4.81549144e+02
152.8320,4.54488867e+02,4.50262069e+02
153.3203,2.51965421e+02,2.49637638e+02
153.8086,2.25003025e+02,2.23060031e+02
154.2969,2.13972630e+02,2.12165298e+02
154.7852,2.30563961e+02,2.28726144e+02
155.2734,1.33547575e+02,1.32504078e+02
155.7617,1.50916817e+02,1.49747401e+02
156.2500,3.19102442e+02,3.16779256e+02
156.7383,2.53919032e+02,2.52088289e+02
157.2266,1.23647673e+02,1.22798567e+02
157.7148,1.42200237e+02,1.41293192e+02
158.2031,1.64912767e+02,1.63867374e+02
158.6914,1.79439858e+02,1.78276262e+02
159.1797,2.40146238e+02,2.38658889e+02
159.6680,1.62334347e+02,1.61353133e+02
160.1562,6.02349907e+01,5.98811290e+01
160.6445,5.77552554e+01,5.74236372e+01
161.1328,7.45479886e+01,7.41247401e+01
161.6211,8.18932734e+01,8.14372707e+01
162.1094,8.64614109e+01,8.59940631e+01
162.5977,1.08751703e+02,1.08169934e+02
163.0859,1.58644258e+02,1.57837980e+02
163.5742,1.05008769e+02,1.04465395e+02
164.0625,1.33144774e+02,1.32510588e+02
164.5508,1.41939872e+02,1.41282655e+02
165.0391,5.60521757e+01,5.57834919e+01
165.5273,7.48096306e+01,7.44650615e+01
166.0156,1.40767754e+02,1.40151040e+02
166.5039,8.04473840e+01,8.01003287e+01
166.9922,1.91157649e+01,1.90308605e+01
167.4805,5.62675296e+01,5.60380658e+01
167.9688,7.03657023e+01,7.00841342e+01
168.4570,4.53234827e+01,4.51447606e+01
168.9453,3.35001930e+01,3.33705715e+01
169.4336,4.27304607e+01,4.25695790e+01
169.9219,5.97190311e+01,5.94973173e+01
170.4102,9.36332650e+01,9.32955674e+01
170.8984,1.30555106e+02,1.30098673e+02
171.3867,6.91039252e+01,6.88643260e+01
171.8750,4.37875002e+01,4.36406249e+01
172.3633,9.47070987e+01,9.43944570e+01
172.8516,7.06568494e+01,7.04200022e+01
173.3398,3.54539375e+01,3.53298791e+01
173.8281,5.30452144e+01,5.28718057e+01
174.3164,3.32014917e+01,3.30864003e+01
174.8047,3.56525318e+01,3.55369383e+01
175.2930,3.84949496e+01,3.83710144e+01
175.7812,4.58874690e+01,4.57469578e+01
176.2695,6.75003736e+01,6.72939942e+01
176.7578,1.14643474e+02,1.14304346e+02
177.2461,1.23121264e+02,1.22759129e+02
177.7344,1.57104042e+02,1.56659707e+02
178.2227,1.26985255e+02,1.26630405e+02
178.7109,7.60762747e+01,7.58680873e+01
179.1992,9.26553798e+01,9.24019748e+01
179.6875,1.11839618e+02,1.11536389e+02
180.1758,9.82816131e+01,9.80086597e+01
180.6641,1.13834273e+02,1.13530900e+02
181.1523,7.52738002e+01,7.50620550e+01
181.6406,1.01268871e+02,1.01006352e+02
182.1289,8.79800489e+01,8.77568536e+01
182.6172,5.36392688e+01,5.35056002e+01
183.1055,5.88344101e+01,5.86851938e+01
183.5938,9.57722084e+01,9.55345208e+01
184.0820,9.56125963e+01,9.53796921e+01
184.5703,6.32167255e+01,6.30632090e+01
185.0586,4.91616192e+01,4.90439138e+01
185.5469,5.33136531e+01,5.31873525e+01
186.0352,5.84809349e+01,5.83456708e+01
186.5234,5.06627504e+01,5.05470033e+01
187.0117,4.54594454e+01,4.53568129e+01
