工况号,航速(m/s),冰厚(m),冲击角(°),峰值加速度(m/s2),峰值位移(m),峰值应力(Pa),RMS加速度(m/s2),DEL(Pa),目标函数J,频带能量(1-50Hz),频带比
0,3,0.5,30.0,13140.0955,1.18722269e+00,277544648.52,2931.4378,170909782.78,8.951876,7.527491e+06,0.827370
1,3,1.0,30.0,23456.0636,1.88937398e+00,439597802.67,2792.0655,227933148.84,15.636633,9.015696e+06,0.876816
2,3,1.5,30.0,25913.7932,1.92791896e+00,428308628.16,5445.0759,206286172.30,17.023752,2.898634e+07,0.833034
10,5,0.5,30.0,15412.3340,1.34631991e+00,320175079.88,3268.3220,166025500.27,10.385827,1.097077e+07,0.866923
11,5,1.0,30.0,15658.5103,1.66988796e+00,369201086.37,2681.8767,99673774.63,10.432530,6.559587e+06,0.804477
12,5,1.5,30.0,28300.6952,2.06259928e+00,478687091.68,5891.0343,276298538.73,18.766687,3.412249e+07,0.897180
20,8,0.5,30.0,18794.5381,1.32008065e+00,308055562.84,4083.0051,208206961.99,12.517455,1.749674e+07,0.914735
21,8,1.0,30.0,15258.6964,9.69917315e-01,221699842.27,1836.4703,133237068.32,9.998329,3.548969e+06,0.871137
22,8,1.5,30.0,35001.9143,1.93102454e+00,457145406.23,5445.2743,260377468.77,22.696572,3.033793e+07,0.862607
